english,sinhala
I've been attacked.,මා හිරිහැරයට පත් විය.
I've been promoted.,මම උසස්වීම් කර ඇත්තෙමි.
I've been summoned.,මම කැඳෙව්වා.
I've been watching.,මම බලාගෙන හිටියා.
I've brought lunch.,මම දිවා ආහාරය ගෙන ආවා.
I've caught a cold.,මම සීතලක් ගත්තා.
I've cut my finger.,මම මගේ ඇඟිල්ල කපලා.
I've found the key.,මම යතුර සොයාගෙන ඇත.
I've gained weight.,මම බර අඩු කළා.
I've got long hair.,මට දිගු කෙස් ලැබුණා.
I've got no choice.,මට වෙනත් විකල්පයක් නැත.
I've got to go now.,මට දැන් යන්න වෙනවා.
I've got to see it.,මට ඒක බලන්න වෙනවා.
I've got your back.,මට ඔයාගේ ආපහු ආවා.
I've gotten better.,මම හොඳට උනා.
I've just woken up.,මම දැන් අවදි වෙලා.
I've misjudged Tom.,මම ටොම්ව වරදවා වටහා ගත්තා.
I've never met her.,මට කවදාවත් ඇයව මුණගැහෙන්නේ නැහැ.
I've waited for it.,මම ඒ ගැන බලා සිටිමි.
Ignorance is bliss.,නොදැනුවත්කම සැපය.
Is Boston far away?,බොස්ටන් දුර බැහැර තිබේද?
Is Monday too late?,සඳුදා ප්රමාද වී තිබේද?
Is Tom a scientist?,ටොම් යනු විද්යා ist යෙක් ද?
Is Tom one of them?,ටොම් ඔවුන්ගෙන් එක් කෙනෙක්ද?
Is Tom your nephew?,ටොම් ඔබේ බෑණාද?
Is anybody in here?,කවුරුහරි මෙහි සිටිනවාද?
Is breakfast ready?,උදේ ආහාරය සූදානම්ද?
Is everybody happy?,හැමෝම සතුටුද?
Is everything okay?,හැමදේම හොඳින්ද?
Is he back already?,ඔහු දැනටමත් නැවත තිබේද?
Is he studying now?,ඔහු දැන් ඉගෙන ගන්නවාද?
Is he your teacher?,ඔහු ඔබේ ගුරුවරයාද?
Is it already open?,එය දැනටමත් විවෘතද?
Is it large enough?,එය ප්රමාණවත්ද?
Is it made of iron?,එය යකඩ වලින් සාදා තිබේද?
Is it still Monday?,එය තවමත් සඳුදා ද?
Is she your mother?,ඇය ඔබේ මවද?
Is she your sister?,ඇය ඔබේ සහෝදරියද?
Is something wrong?,මොකක් හරි වැරැද්දක්ද?
Is that really Tom?,ඒක ඇත්තටම ටොම් ද?
Is that really you?,ඒක ඔයා ඇත්තටම?
Is that your house?,ඒ ඔබේ නිවසද?
Is that your shirt?,ඒ ඔබේ කමිසයද?
Is the dog chained?,බල්ලා දම්වැල් දම්පත්ද?
Is the place clean?,ස්ථානය පිරිසිදුද?
Is the snake alive?,සර්පයා ජීවමානද?
Is there a milkman?,කිරි දිනයක් තිබේද?
Is there a problem?,ගැටලුවක් තිබේද?
Is there any bread?,රොටි තිබේද?
Is there any doubt?,කිසියම් සැකයක් තිබේද?
Is there any sugar?,සීනි තිබේද?
Is there hot water?,උණු වතුර තිබේද?
Is this Tom's wife?,මේ ටොම්ගේ බිරිඳද?
Is this bike yours?,මේ බයිසිකලය ඔබේද?
Is this coat yours?,මේ කබාය ඔබේ ද?
Is this seat empty?,මේ ආසනය හිස්ද?
Is this seat taken?,මෙම ආසනය වෙන් කරලාද?
Is this your house?,මේ ඔබේ නිවසද?
Is your gun loaded?,ඔබේ තුවක්කුව පටවා තිබේද?
Isn't it beautiful?,එය ලස්සන නැද්ද?
Isn't that awesome?,එය නියමයි?
It belonged to Tom.,එය ටොම්ට අයත් විය.
It can not be true.,එය සත්යයක් විය නොහැක.
It can't be helped.,එයට උදව් කළ නොහැක.
It changed my life.,ඒක මගේ ජීවිතය වෙනස් කළා.
It could be a hoax.,එය ප්රෝඩාවක් විය හැකිය.
It could be a trap.,එය උගුලක් විය හැකිය.
It could be anyone.,එය ඕනෑම කෙනෙකුට විය හැකිය.
It could get worse.,එය නරක අතට හැරිය හැක.
It didn't end well.,එය හොඳින් අවසන් වූයේ නැත.
It didn't work out.,එය සාර්ථක වූයේ නැත.
It drives me crazy.,එය මට පිස්සු වට්ටනවා.
It feels like rain.,එය වර්ෂාව මෙන් දැනේ.
It helped me a lot.,ඒක මට ගොඩක් උදව් කළා.
It is Monday today.,එය අද සඳුදා.
It is a black hole.,එය කළු කුහරයකි.
It is a long story.,එය දිගු කතාවකි.
It is almost three.,එය තුනකට ආසන්න ය.
It is already dark.,එය දැනටමත් අඳුරු ය.
It is cold outside.,එය පිටතින් සීතලයි.
It is dark outside.,එය පිටත අඳුරු ය.
It is of great use.,එය ඉතා ප්රයෝජනවත් වේ.
It is raining hard.,එය තදින් වැස්ස.
It is really cheap.,එය ඇත්තෙන්ම ලාභයි.
It isn't expensive.,එය මිල අධික නොවේ.
It looks delicious.,එය රසවත් බව පෙනේ.
It looks like rain.,එය වර්ෂාව වගේ.
It looks like snow.,එය හිම වගේ.
It makes sense now.,එය දැන් අර්ථවත් වේ.
It might be a trap.,එය උගුලක් විය හැකිය.
It rained for days.,දවස් නිසා වැස්ස.
It seems worthless.,එය නිෂ් .ල බව පෙනේ.
It smells like Tom.,එය ටොම් මෙන් සුවඳයි.
It snowed in Osaka.,එය ඔසාකාහි හිම පතනය විය.
It sounds like Tom.,එය ටොම් වගේ.
It started to rain.,වහින්න පටන්ගත්තා.
It started to snow.,එය හිම වැටීමට පටන් ගත්තේය.
It was Tom's fault.,එය ටොම්ගේ වරදක් විය.
It was a bad movie.,එය නරක චිත්රපටයක් විය.
It was a nightmare.,එය බියකරු සිහිනයක් විය.
It was about money.,එය මුදල් ගැන ය.
It was all planned.,ඒ සියල්ල සැලසුම් කර තිබීමයි.
It was handcrafted.,එය අත්කම්.
It was hot outside.,එය පිටත උණුසුම් විය.
It was just a joke.,එය විහිළුවක් පමණි.
It was my decision.,එය මගේ තීරණයයි.
It was nearly noon.,එය දහවල් ආසන්නය.
It was only a joke.,එය විහිළුවක් පමණි.
It was outstanding.,එය කැපී පෙනුණි.
It was pretty cool.,එය ඉතා සිසිල් විය.
It was pretty dark.,ඒක හරිම අඳුරු.
It was pretty good.,ඒක හොඳයි.
It was pretty neat.,ඒක හරිම පිළිවෙලට.
It was quiet again.,එය නැවත නිහ was විය.
It was really dumb.,එය ඇත්තෙන්ම ගොළු ය.
It was really neat.,එය ඇත්තෙන්ම පිළිවෙලට විය.
It was six o'clock.,එය රාත්රී හයේ ය.
It was so romantic.,එය එතරම් ආදර හැඟීමක් විය.
It was still there.,එය තවමත් පවතී.
It was worth a try.,එය උත්සාහ කිරීම වටී.
It wasn't my fault.,එය මගේ වරදක් නොවේ.
It won't cost much.,එයට විශාල වියදමක් දැරීමට සිදු නොවේ.
It won't take long.,එය වැඩි කාලයක් ගත නොවනු ඇත.
It'd be a disaster.,එය ව්යසනයක් වනු ඇත.
It'll never happen.,එය කිසි විටෙකත් සිදු නොවේ.
It's a French word.,එය ප්රංශ වචනයක්.
It's a catchy song.,එය ආකර්ශනීය ගීතයකි.
It's a common name.,එය පොදු නමකි.
It's a cruel world.,එය කුරිරු ලෝකයකි.
It's a design flaw.,එය නිර්මාණ දෝෂයකි.
It's a distraction.,එය අවධානය වෙනතකට යොමු කිරීමකි.
It's a good camera.,එය හොඳ කැමරාවක්.
It's a good system.,එය හොඳ පද්ධතියකි.
It's a happy thing.,එය ප්රීතිමත් දෙයක්.
It's a lot of work.,ඒක ගොඩක් වැඩක්.
It's a perfect day.,එය පරිපූර්ණ දිනයකි.
It's a proven fact.,එය ඔප්පු කළ සත්යයකි.
It's a red herring.,එය රතු හුරුල්ලන් ය.
It's a small world.,එය කුඩා ලෝකයකි.
It's a stupid idea.,එය මෝඩ අදහසකි.
It's a typo. Sorry.,එය යතුරු ලියනයකි.සමාවන්න.
It's an old custom.,එය පැරණි චාරිත්රයකි.
It's at the corner.,එය කෙළවරේ.
It's beyond reason.,එය තර්කානුකූලයි.
It's booby-trapped.,එය බබීගේ කොටු වී ඇත.
It's crowded today.,අද එය ජනාකීර්ණයි.
It's going to rain.,වහින්න යන්නෙ.
It's gotten better.,එය වඩා හොඳ ය.
"It's his, isn't it?","ඒ ඔහුගේ, එහෙම නේද?"
It's hot down here.,ඒක මෙතන උණුසුම්.
It's in good hands.,එය හොඳ අතේ.
It's in your truck.,එය ඔබේ ට්රක් රථයේ ය.
It's just a theory.,එය න්යායක් පමණි.
It's just not fair.,එය සාධාරණ නැත.
It's just too soon.,එය ඉතා ඉක්මනින්.
"It's me again, Tom.","ඒ මම නැවතත්, ටොම්."
It's merely a joke.,එය හුදෙක් විහිළුවක්.
"It's mine, not his.",ඒ මගේ මිස ඔහුගේ නොවේ.
It's my last offer.,එය මගේ අවසාන දීමනාවයි.
It's nice and warm.,ඒක හොඳයි.
It's not Christmas.,එය නත්තල් නොවේ.
It's not a gimmick.,එය ජිමික් නොවේ.
It's not difficult.,එය අපහසු නැත.
It's not his style.,එය ඔහුගේ ශෛලිය නොවේ.
It's not important.,එය වැදගත් නෑ.
It's not just that.,එය පමණක් නොවේ.
It's not so little.,එය එතරම් අල්ප නොවේ.
It's not that cold.,එය එතරම් සීතල නොවේ.
It's not that easy.,එය එතරම් පහසු නැත.
It's not too early.,එය කල් වැඩියි.
It's now your turn.,එය දැන් ඔබේ වාරයයි.
It's only a theory.,එය න්යායක් පමණි.
It's past midnight.,එය මධ්යම රාත්රිය පසු කර ඇත.
It's raining again!,එය නැවතත් වැස්ස!
It's raining again.,එය නැවතත් වැස්ස.
It's raining there.,එහි වැස්ස.
It's raining today.,අද වැස්ස.
It's rather ironic.,එය තරමක් උත්ප්රාසයයි.
It's really simple.,එය ඇත්තෙන්ම සරලයි.
It's really stinky.,ඒක ඇත්තටම ගඳ ගහනවා.
It's snowing there.,එය එහි හිම පතනයකි.
It's snowing today.,එය අද හිම පතනයකි.
It's started again.,එය නැවත ආරම්භ වී ඇත.
It's three o'clock.,ඒ පාන්දර තුනයි.
It's time to begin.,එය ආරම්භ කිරීමට කාලයයි.
It's time to leave.,ඉවත්ව යන්න වෙලාව.
It's too dangerous!,එය ඉතා භයානක ය!
It's too dangerous.,එය ඉතා භයානක ය.
It's too expensive!,එය මිල අධිකයි!
It's too expensive.,එය මිල අධිකයි.
It's very hot here.,එය ඉතා උණුසුම්.
It's very relaxing.,එය ඉතා සැහැල්ලුවෙන්.
It's very unlikely.,එය ඉතා අපහසුයි.
It's your decision.,එය ඔබේ තීරණයයි.
Italy is in Europe.,ඉතාලිය යුරෝපයේ ඇත.
Italy isn't Greece.,ඉතාලිය ග්රීසියේ නොවේ.
Jam comes in a jar.,ජෑම් බඳුනකට පැමිණේ.
Just fill this out.,මෙය පුරවන්න.
Just get back here.,නැවත මෙහි යන්න.
Just get down here.,මෙතනට යන්න.
Just get over here.,මෙතනට යන්න.
Just hang in there.,එතන ඉන්න.
Just let me finish.,මට ඉවර කරන්න දෙන්න.
Just open the door.,දොර අරින්න.
Just remember that.,ඒක මතක තබා ගන්න.
Just say something.,යමක් කියන්න.
Just take a number.,අංකයක් ගන්න.
Just throw it away.,ඒක විසි කරන්න.
Keep a low profile.,අඩු පැතිකඩක් තබා ගන්න.
Keep an eye on Tom.,ටොම් ගැන විමසිල්ලෙන් සිටින්න.
Keep off the grass.,තණකොළවලින් වළකින්න.
Keep the door open.,දොර විවෘතව තබන්න.
Keep your hands up.,ඔබේ දෑත් ඉහළට ඔසවන්න.
Keep your pants on.,ඔබේ කලිසම තබා ගන්න.
Keep your promises.,ඔබේ පොරොන්දු ඉටු කරන්න.
Keep your shoes on.,ඔබේ සපත්තු දිගටම කරගෙන යන්න.
"Knock it off, guys.","යාලුවනේ ඒක තට්ටු කරන්න, යාලුවනේ."
Laws are necessary.,නීති අවශ්ය වේ.
Learn to keep time.,කාලය තබා ගැනීමට ඉගෙන ගන්න.
Learn what you can.,ඔබට හැකි දේ ඉගෙන ගන්න.
Leave here at once.,එකවරම මෙහි තබන්න.
Leaves are falling.,කොළ වැටෙනවා.
Lesson Two is easy.,පාඩම දෙක පහසුය.
Let go of the rope.,කඹය අත්හරින්න.
Let him pay for it.,ඔහුට ඒ සඳහා ගෙවීමට ඉඩ දෙන්න.
Let me borrow that.,මට එය ණයට ගැනීමට ඉඩ දෙන්න.
Let me explain why.,එයට හේතුව පැහැදිලි කිරීමට මට ඉඩ දෙන්න.
Let me go with you.,මට ඔබ සමඟ යන්න දෙන්න.
Let me handle this.,මට මෙය පාලනය කිරීමට ඉඩ දෙන්න.
Let me have a look.,මට බලන්න දෙන්න.
Let me look at you.,මට ඔබ දෙස බලන්න දෙන්න.
Let me pay tonight.,මට අද රෑ ගෙවන්න දෙන්න.
Let me rephrase it.,මට එය නැවත ලියමු.
Let the game begin.,ක්රීඩාව ආරම්භ කිරීමට ඉඩ දෙන්න.
Let's buy this one.,අපි මෙය මිලදී ගනිමු.
Let's get divorced.,අපි දික්කසාද වෙමු.
Let's get prepared.,අපි සූදානම් කරමු.
Let's go get drunk.,අපි යමු බීමත්ව සිටිමු.
Let's go to Boston.,අපි බොස්ටන් වෙත යමු.
Let's have a drink.,අපි බීමක් කරමු.
Let's have a party.,අපි සාදයක් කරමු.
Let's meet at 2:30.,අපි 2: 30 ට හමුවෙමු.
Let's not be naive.,අපි බොළඳ නොවෙමු.
Let's not go there.,අපි එතනට යන්නේ නැහැ.
Let's not watch TV.,අපි රූපවාහිනිය නරඹමු.
Let's see who wins!,අපි බලමු කවුද ජය ගන්නේ!
Let's speak French.,අපි ප්රංශ කතා කරමු.
Let's stay married.,අපි විවාහ වෙමු.
Let's study French.,අපි ප්රංශ භාෂාව ඉගෙන ගනිමු.
Let's take a break.,අපි විවේකයක් ගන්නම්.
Let's take a train.,අපි දුම්රියක් ගනිමු.
Let's take it easy.,අපි එය පහසු කරමු.
Let's try it again.,අපි එය නැවත උත්සාහ කරමු.
Let's use this one.,අපි මෙය භාවිතා කරමු.
Let's wait and see.,අපි බලා සිටිමු.
Life is a delusion.,ජීවිතය මායාවක්.
Life is very short.,ජීවිතය ඉතා කෙටි ය.
Lilies smell sweet.,ලිලී මල් පැණිරසයි.
"Listen, all of you.","සවන් දෙන්න, ඔබ සැවොම."
Look at my new car.,මගේ නව මෝටර් රථය දෙස බලන්න.
Look at that house.,ඒ නිවස දෙස බලන්න.
Look in the mirror.,කැඩපත දෙස බලන්න.
Love doesn't exist.,ආදරය නොපවතී.
Luck doesn't exist.,වාසනාව නොපවතී.
Luck is against me.,වාසනාව මට විරුද්ධයි.
"Luckily, it worked.","වාසනාවකට, එය ක්රියාත්මක විය."
"Make love, not war.",ආදරය මිස යුද්ධ නොකරන්න.
Mars has two moons.,අඟහරුවලට චන්ද්රයන් දෙකක් තිබේ.
Mary felt excluded.,මරියාට බැහැර කළා.
Mary got mad at me.,මේරි මට පිස්සු හැදුණා.
Mary has nice legs.,මරියාට ලස්සන කකුල් තියෙනවා.
Mary is Tom's aunt.,මේරි ටොම්ගේ නැන්දා ය.
Mary is Tom's wife.,මරියා ටොම්ගේ බිරිඳයි.
Mary is a bad girl.,මේරි නරක කෙල්ලෙක්.
Mary is a bookworm.,මරියා පොත් පණුවෙකි.
Mary is hysterical.,මරියා උමතුවයි.
Mary was beautiful.,මේරි ලස්සනයි.
May God reward you.,දෙවියන් වහන්සේ ඔබට විපාක දෙනු ඇත.
May I begin to eat?,මම කන්න පටන් ගන්නවාද?
May I borrow a pen?,මට පෑනක් ණයට ගත හැකිද?
May I call you Tom?,මම ඔබට ටොම් අමතන්නද?
May I open the box?,මට පෙට්ටිය විවෘත කළ හැකිද?
May I pay by check?,මට චෙක්පත් මගින් ගෙවිය හැකිද?
May I run with you?,මට ඔබ සමඟ දුවන්න පුළුවන්ද?
May I speak to you?,මට ඔබට කතා කළ හැකිද?
May I take a photo?,මට ඡායාරූපයක් ගන්න පුළුවන්ද?
May I watch TV now?,මට දැන් රූපවාහිනිය නැරඹිය හැකිද?
Maybe it will snow.,සමහර විට එය හිම වැටෙනු ඇත.
Maybe it's destiny.,සමහර විට එය ඉරණම විය හැකිය.
Maybe you're right.,සමහර විට ඔබ හරි ඇති.
Monday's a holiday.,සඳුදා නිවාඩුවක්.
"Move along, please.",කරුණාකර.
My answer is final.,මගේ පිළිතුර අවසානයි.
My arm still hurts.,මගේ අත තවමත් රිදෙනවා.
My brother is rich.,මගේ සහෝදරයා පොහොසත් ය.
My car won't start.,මගේ මෝටර් රථය ආරම්භ නොවේ.
My dog eats grapes.,මගේ බල්ලා මිදි කනවා.
My dream came true.,මගේ සිහිනය සැබෑ විය.
My eyes feel itchy.,මගේ ඇස් කැසීම දැනෙනවා.
My family is small.,මගේ පවුල කුඩායි.
My father grew old.,මගේ තාත්තා මහලු විය.
My father is young.,මගේ තාත්තා තරුණයි.
My father was busy.,මගේ තාත්තා කාර්යබහුලයි.
My husband is lazy.,මගේ සැමියා කම්මැලි ය.
My knife is broken.,මගේ පිහිය කැඩී ඇත.
My legs feel heavy.,මගේ කකුල් බරයි.
My legs still hurt.,මගේ කකුල් තාමත් රිදෙනවා.
My lips are sealed.,මගේ තොල් මුද්රා තබා ඇත.
My mother is angry.,මගේ අම්මා කෝප වෙනවා.
My mother loves me.,මගේ අම්මා මට ආදරෙයි.
My parents are old.,මගේ දෙමාපියන් වයසයි.
My parents love me.,මගේ දෙමාපියන් මට ආදරෙයි.
My right leg hurts.,මගේ දකුණු කකුල රිදෙනවා.
My room faces east.,මගේ කාමරය නැගෙනහිරට මුහුණලා.
My shirt is orange.,මගේ කමිසය තැඹිලි පාටයි.
My stomach is full.,මගේ බඩ පිරී ඇත.
My turn comes next.,මගේ වාරය ඊළඟට එනවා.
My watch is broken.,මගේ ඔරලෝසුව කැඩී ඇත.
My watch says 2:30.,මගේ ඔරලෝසුව කියනවා 2:30.
My wife cooks well.,මගේ බිරිඳ හොඳින් පිසිනවා.
My wife hates cats.,මගේ බිරිඳ බළලුන්ට වෛර කරනවා.
My wife is cooking.,මගේ බිරිඳ පිසිනවා.
My wife's pregnant.,මගේ බිරිඳ ගැබ්ගෙන.
Nature is changing.,සොබාදහම වෙනස් වෙමින් පවතී.
Need anything else?,වෙන මොනවහරි ඕනද?
No one believed me.,කිසිවෙකු මාව විශ්වාස කළේ නැහැ.
No one can hear us.,කිසිවෙකුට අපට ඇහුම්කන් දිය නොහැක.
No one can help me.,කිසිවෙකුට මට උදව් කළ නොහැක.
No one followed me.,කිසිවෙකු මා පසුපස ගියේ නැත.
No one is to leave.,කිසිවෙකු පිටව නොයන්නේ නැත.
No one was at home.,කිසිවෙකු නිවසේ සිටියේ නැත.
No one was present.,කිසිවෙකු පැමිණ සිටියේ නැත.
No one's been here.,කිසිවෙකු මෙහි නොසිටියේය.
No one's been hurt.,කිසිවෙකුට හානියක් නැත.
No one's listening.,කිසිවෙකු සවන් දෙන්නේ නැත.
No one's safe here.,කිසිවෙකු මෙහි ආරක්ෂිත නොවේ.
Nobody can help me.,කිසිවෙකුට මට උදව් කළ නොහැක.
Nobody can help us.,කිසිවෙකුට අපට උදව් කළ නොහැක.
Nobody can save me.,කිසිවෙකුට මාව බේරා ගත නොහැක.
Nobody can stop it.,කිසිවෙකුට එය නැවැත්විය නොහැක.
Nobody can stop me!,කිසිවෙකුට මාව නවත්වන්න බැහැ!
Nobody is speaking.,කිසිවෙකු කතා නොකරයි.
Nobody understands.,කිසිවෙකු තේරුම් නොගනී.
Nobody was injured.,කිසිවෙකුට තුවාල සිදු නොවීය.
Nobody's been hurt.,කිසිවෙකුට රිදවන්නේ නැත.
Nothing got ruined.,කිසිවක් විනාශ වී නැත.
Nothing is forever.,සදහටම කිසිවක් නැත.
Nothing is missing.,කිසිවක් අතුරුදහන් නොවේ.
Nothing's going on.,කිසිවක් සිදුවන්නේ නැත.
Now it's your turn.,දැන් ඔබේ වාරය.
Now she's gone mad.,දැන් ඇයට පිස්සු හැදිලා.
"Now, don't be late.","දැන්, ප්රමාද නොවන්න."
"Now, wait a minute.","දැන්, විනාඩියක් ඉන්න."
"OK, I get the idea.","හරි, මට අදහස ලැබෙනවා."
Obey your teachers.,ඔබේ ගුරුවරුන්ට කීකරු වන්න.
Oh! That's too bad.,ඔහ්!ඒක ගොඩක් නරකයි.
One of us is wrong.,අපෙන් කෙනෙක් වැරදියි.
Open your suitcase.,ඔබේ සූට්කේස් එක විවෘත කරන්න.
Our house is yours.,අපේ ගෙදර ඔබේයි.
Our project failed.,අපගේ ව්යාපෘතිය අසාර්ථක විය.
Our team could win.,අපේ කණ්ඩායමට දිනන්න පුළුවන්.
Owls have big eyes.,බකමූණන්ගේ විශාල ඇස් ඇත.
Owls hunt at night.,බකමූණෝ රාත්රියේ දඩයම් කරන්න.
Paper burns easily.,කඩදාසි පහසුවෙන් පුළුස්සා දමයි.
Pay your fare here.,ඔබේ ගාස්තුව මෙහි ගෙවන්න.
People are talking.,මිනිස්සු කතා කරනවා.
Perhaps it is true.,සමහර විට එය සත්යයක් විය හැකිය.
Pick me up at 2:30.,මාව 2: 30 ට ගන්න.
Please call a taxi.,කරුණාකර කුලී රථයක් අමතන්න.
Please call him up.,කරුණාකර ඔහුව අමතන්න.
Please don't argue.,කරුණාකර තර්ක නොකරන්න.
Please don't fight.,කරුණාකර සටන් නොකරන්න.
Please don't shoot.,කරුණාකර වෙඩි තියන්න එපා.
Please get dressed.,කරුණාකර ඇඳුම් ඇඳගන්න.
Please have a seat.,කරුණාකර වාඩි වන්න.
Please let me help.,කරුණාකර මට උදව් කරන්න දෙන්න.
Please look for it.,කරුණාකර එය සොයා බලන්න.
Please make my bed.,කරුණාකර මගේ ඇඳ සාදන්න.
Please pay the tax.,කරුණාකර බද්ද ගෙවන්න.
Please remain calm.,කරුණාකර සන්සුන්ව සිටින්න.
Please remember me.,කරුණාකර මාව මතක තබා ගන්න.
Please shake hands.,කරුණාකර අත් සොලවන්න.
Please sing a song.,කරුණාකර ගීතයක් ගායනා කරන්න.
Please take a bath.,කරුණාකර ස්නානය කරන්න.
Please take a seat.,කරුණාකර අසුනක් ගන්න.
Please wait for me.,කරුණාකර මා එනතෙක් බලා සිටින්න.
Prices have jumped.,මිල පහත වැටී ඇත.
Put your guns away.,ඔබේ තුවක්කු ඉවතට දමන්න.
"Quiet down, please.","කරුණාකර නිහ quiet ව,."
Read it back to me.,එය මට නැවත කියවන්න.
Relax for a second.,තත්පරයකට විවේක ගන්න.
Remember this rule.,මෙම රීතිය මතක තබා ගන්න.
Remove the bandage.,වෙළුම් පටිය ඉවත් කරන්න.
Return immediately.,වහාම ආපසු එන්න.
Save it till later.,පසුව එය සුරකින්න.
Save your strength.,ඔබේ ශක්තිය සුරකින්න.
School begins at 9.,පාසල ආරම්භ වන්නේ 9 ට ය.
Schools are closed.,පාසල් වසා ඇත.
Schools were built.,පාසල් ඉදිකරන ලදි.
See you guys later.,පසුව ඔබව හමුවෙමු පසුව.
Send Tom a message.,ටොම්ට පණිවිඩයක් යවන්න.
Send it by airmail.,ගුවන් තැපෑලෙන් එය යවන්න.
Send me a postcard.,මට තැපැල් පතක් එවන්න.
Shake before using.,භාවිතා කිරීමට පෙර සොලවන්න.
Shall we begin now?,අපි දැන් ආරම්භ කරමු ද?
She almost drowned.,ඇය බොහෝ දුරට දියේ ගිලී මියගොස් තිබේ.
She almost fainted.,ඇය ක්ලාන්ත විය.
She always says no.,ඇය නිතරම එපා කියනවා.
She ate her dinner.,ඇය ඇගේ රාත්රී ආහාරය කෑවාය.
She began to sweat.,ඇය දහඩිය දැමීමට පටන් ගත්තාය.
She bought chicken.,ඇය කුකුල් මස් මිලදී ගත්තාය.
She broke my heart.,ඇය මගේ හදවත කැඩුවාය.
She came to my aid.,ඇය මගේ උදව්වට ආවා.
She came to see me.,ඇය මාව බලන්න ආවා.
She cried bitterly.,ඇය දැඩි ලෙස හ ried ා වැලපුණාය.
She did a good job.,ඇය හොඳ වැඩක් කළා.
She didn't show up.,ඇය පෙන්වූයේ නැත.
She died of cancer.,ඇය පිළිකාවෙන් මිය ගියාය.
She does hate dogs.,ඇය සුනඛයන්ට වෛර කරනවා.
She does not smoke.,ඇය දුම් පානය නොකරයි.
She gave me a doll.,ඇය මට බෝනික්කෙක්ව දුන්නා.
She goes to school.,ඇය පාසල් යනවා.
She had a lazy eye.,ඇයට කම්මැලි ඇසක් තිබුණි.
She has brown eyes.,ඇය දුඹුරු පැහැති ඇස් ඇති.
She has green eyes.,ඇයට හරිත ඇස් ඇත.
She has no manners.,ඇයට පුරුදු නැත.
She has seven sons.,ඇයට පුතුන් හත්දෙනෙක් සිටී.
She has short hair.,ඇයට කෙටි හිසකෙස් ඇත.
She has three kids.,ඇයට දරුවන් තිදෙනෙක් සිටී.
She heard him sing.,ඔහු ගායනා කළාය.
She invited him in.,ඇය ඔහුට ඇතුළට ආරාධනා කළා.
She is always busy.,ඇය නිතරම කාර්යබහුලයි.
She is from France.,ඇය ප්රංශයේ සිට ය.
She is hard on him.,ඇය ඔහුට අමාරුයි.
She is helping him.,ඇය ඔහුට උදව් කරයි.
She is kind to him.,ඇය ඔහුට කරුණාවන්තයි.
She is kissing him.,ඇය ඔහුව සිපගන්නවා.
She is over twenty.,ඇය විසි ඉක්මවා ඇත.
She is really cute.,ඇය ඇත්තටම හුරුබුහුටියි.
She is unconscious.,ඇය සිහිසුන්ව සිටී.
She is very bright.,ඇය ඉතා දීප්තිමත් ය.
She is very pretty.,අැය ඉතා ලස්සනයි.
She knows who I am.,මම දන්නවා මම කවුද කියලා.
She leaped for joy.,ඇය ප්රීතියෙන් පැන ගියා.
She left for Paris.,ඇය පැරිසිය බලා ගියාය.
She left me a note.,ඇය මට සටහනක් තැබුවා.
She likes sleeping.,ඇය නිදාගන්න කැමතියි.
She listens to him.,ඇය ඔහුට සවන් දෙයි.
She looks confused.,ඇය ව්යාකූලයි.
She looks lonesome.,ඇය හුදෙකලා පෙනුමක්.
She loves antiques.,ඇය පුරාවස්තු වලට කැමතියි.
She loves children.,ඇය දරුවන්ට ආදරෙයි.
She made him do it.,ඇය ඔහුව එය කිරීමට සැලැස්වීය.
She made him happy.,ඇය ඔහුව සතුටු කළා.
She made me a cake.,ඇය මට කේක් එකක් කළා.
She makes me happy.,ඇය මට සතුටුයි.
She needs our help.,ඇයට අපගේ උදව් අවශ්යයි.
She picked flowers.,ඇය මල් තෝරා ගත්තාය.
She pointed at him.,ඇය ඔහු දෙස පෙන්වා දුන්නාය.
She put on her hat.,ඇය ඇගේ තොප්පිය පැළඳ ගත්තාය.
She sat next to me.,ඇය මා අසල වාඩි වී සිටියාය.
She shouted to him.,ඇය ඔහුට කෑගැසුවාය.
She so wants to go.,ඇයට එසේ වීමට අවශ්යයි.
She speaks frankly.,ඇය අවංකව කථා කරයි.
She studies 24 / 7.,ඇය 24/17 යි.
She threatened him.,ඇය ඔහුට තර්ජනය කළා.
She wants to dance.,ඇයට නටන්න අවශ්යයි.
She was all smiles.,ඇය ඔක්කොම සිනහවක්.
She was born blind.,ඇය ඉපදුනේ අන්ධයි.
She was born lucky.,ඇය ඉපදුනේ වාසනාවන්තයි.
She was in a hurry.,ඇය කඩිමුඩියේ සිටියාය.
She's Tom's sister.,ඇය ටොම්ගේ සහෝදරියයි.
She's a smart girl.,ඇය දක්ෂ ගැහැණු ළමයෙක්.
She's an alcoholic.,ඇය මත්පැන්.
She's at a meeting.,ඇය රැස්වීමකදී.
She's eating fruit.,ඇය පලතුරු කනවා.
She's from Somalia.,ඇය සෝමාලියාවේ සිට.
She's just a child.,ඇය දරුවෙක් පමණයි.
She's my godmother.,ඇය මගේ දේවස්ථානයයි.
She's my professor.,ඇය මගේ මහාචාර්යවරයා.
She's not a doctor.,ඇය වෛද්යවරයෙක් නොවේ.
She's only a child.,ඇය දරුවෙක් පමණයි.
She's thirty-three.,ඇය තිස්තුමක්.
Should I repeat it?,මම එය නැවත කළ යුතුද?
